starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:53:02 2023	1693741982	0	576	576	575
Sun Sep 03 19:53:02 2023	1693741982	0	576	576	575
Sun Sep 03 19:53:02 2023	1693741982	0	576	576	575
Sun Sep 03 19:53:07 2023	1693741987	0	576	576	576
Sun Sep 03 19:53:06 2023	1693741986	0	576	576	575
Sun Sep 03 19:53:06 2023	1693741986	0	576	577	576
Sun Sep 03 19:53:07 2023	1693741987	0	576	577	576
Sun Sep 03 19:53:01 2023	1693741981	1	576	577	575
Sun Sep 03 19:53:01 2023	1693741981	0	577	577	576
Sun Sep 03 19:53:06 2023	1693741986	0	577	577	577
Sun Sep 03 19:53:05 2023	1693741985	0	577	578	577
Sun Sep 03 19:52:59 2023	1693741979	0	577	578	577
Sun Sep 03 19:53:02 2023	1693741982	0	577	578	577
Sun Sep 03 19:53:03 2023	1693741983	0	578	578	578
Sun Sep 03 19:53:06 2023	1693741986	0	578	578	577
Sun Sep 03 19:53:02 2023	1693741982	0	578	578	577
Sun Sep 03 19:53:01 2023	1693741981	0	578	579	578
Sun Sep 03 19:53:06 2023	1693741986	0	579	579	578
Sun Sep 03 19:53:06 2023	1693741986	0	579	579	578
Sun Sep 03 19:53:05 2023	1693741985	0	579	579	579
Sun Sep 03 19:53:06 2023	1693741986	0	580	580	579
Sun Sep 03 19:53:06 2023	1693741986	0	580	580	579
Sun Sep 03 19:53:01 2023	1693741981	0	580	580	579
Sun Sep 03 19:53:07 2023	1693741987	0	580	581	580
Sun Sep 03 19:53:02 2023	1693741982	0	581	581	575
Sun Sep 03 19:53:05 2023	1693741985	0	581	581	580
Sun Sep 03 19:53:02 2023	1693741982	0	581	581	581
Sun Sep 03 19:53:07 2023	1693741987	0	581	581	580
Sun Sep 03 19:53:07 2023	1693741987	2	580	581	579
Sun Sep 03 19:52:59 2023	1693741979	0	582	582	581
Sun Sep 03 19:52:59 2023	1693741979	0	582	582	581
Sun Sep 03 19:53:05 2023	1693741985	0	582	582	582
Sun Sep 03 19:53:08 2023	1693741988	0	582	582	582
Sun Sep 03 19:53:07 2023	1693741987	0	582	582	581
Sun Sep 03 19:53:07 2023	1693741987	0	582	583	582
Sun Sep 03 19:53:08 2023	1693741988	0	583	583	582
Sun Sep 03 19:53:01 2023	1693741981	0	583	583	582
Sun Sep 03 19:53:01 2023	1693741981	0	583	583	582
Sun Sep 03 19:53:07 2023	1693741987	0	583	583	583
Sun Sep 03 19:53:09 2023	1693741989	0	583	583	583
Sun Sep 03 19:52:59 2023	1693741979	0	583	583	583
Sun Sep 03 19:52:59 2023	1693741979	0	584	584	583
Sun Sep 03 19:53:01 2023	1693741981	0	584	584	583
Sun Sep 03 19:53:07 2023	1693741987	0	584	584	584
Sun Sep 03 19:52:59 2023	1693741979	3	582	584	581
Sun Sep 03 19:53:03 2023	1693741983	0	585	585	584
Sun Sep 03 19:53:06 2023	1693741986	0	585	585	584
Sun Sep 03 19:53:08 2023	1693741988	0	586	587	586
Sun Sep 03 19:53:08 2023	1693741988	0	586	587	586
Sun Sep 03 19:53:03 2023	1693741983	0	587	587	586
Sun Sep 03 19:53:06 2023	1693741986	0	587	587	587
Sun Sep 03 19:53:07 2023	1693741987	0	589	589	589
Sun Sep 03 19:53:07 2023	1693741987	0	590	590	590
Sun Sep 03 19:53:05 2023	1693741985	0	590	591	590
Sun Sep 03 19:53:03 2023	1693741983	0	591	591	590
Sun Sep 03 19:53:01 2023	1693741981	0	591	591	590
Sun Sep 03 19:53:09 2023	1693741989	0	591	591	591
Sun Sep 03 19:53:04 2023	1693741984	0	591	591	591
Sun Sep 03 19:53:07 2023	1693741987	0	591	591	591
Sun Sep 03 19:52:59 2023	1693741979	0	592	592	591
Sun Sep 03 19:53:08 2023	1693741988	0	592	592	591
Sun Sep 03 19:53:08 2023	1693741988	0	592	592	591
Sun Sep 03 19:53:08 2023	1693741988	1	591	592	591
Sun Sep 03 19:52:59 2023	1693741979	0	592	592	592
Sun Sep 03 19:53:07 2023	1693741987	0	593	593	592
Sun Sep 03 19:53:08 2023	1693741988	0	593	593	592
Sun Sep 03 19:53:04 2023	1693741984	0	593	593	592
Sun Sep 03 19:52:59 2023	1693741979	0	593	593	592
Sun Sep 03 19:53:03 2023	1693741983	0	594	594	592
Sun Sep 03 19:53:00 2023	1693741980	0	594	594	593
Sun Sep 03 19:53:02 2023	1693741982	0	594	594	592
Sun Sep 03 19:53:05 2023	1693741985	0	594	594	593
Sun Sep 03 19:52:59 2023	1693741979	1	593	594	592
Sun Sep 03 19:53:05 2023	1693741985	0	595	595	595
Sun Sep 03 19:53:05 2023	1693741985	0	596	596	596
Sun Sep 03 19:53:08 2023	1693741988	0	596	596	596
Sun Sep 03 19:53:06 2023	1693741986	0	596	596	596
Sun Sep 03 19:53:08 2023	1693741988	0	597	597	596
Sun Sep 03 19:53:05 2023	1693741985	1	596	597	596
Sun Sep 03 19:53:00 2023	1693741980	0	597	597	597
Sun Sep 03 19:53:04 2023	1693741984	0	597	597	597
Sun Sep 03 19:53:05 2023	1693741985	0	597	597	596
Sun Sep 03 19:53:05 2023	1693741985	0	597	597	597
Sun Sep 03 19:53:02 2023	1693741982	0	598	598	597
Sun Sep 03 19:53:07 2023	1693741987	0	598	598	596
Sun Sep 03 19:53:07 2023	1693741987	0	598	598	597
Sun Sep 03 19:53:09 2023	1693741989	0	598	598	597
Sun Sep 03 19:53:09 2023	1693741989	0	598	598	597
Sun Sep 03 19:53:05 2023	1693741985	0	598	598	598
Sun Sep 03 19:53:00 2023	1693741980	0	598	598	598
Sun Sep 03 19:53:02 2023	1693741982	0	599	599	599
Sun Sep 03 19:53:09 2023	1693741989	0	599	600	599
Sun Sep 03 19:52:59 2023	1693741979	0	599	600	599
Sun Sep 03 19:53:00 2023	1693741980	1	599	600	599
Sun Sep 03 19:53:05 2023	1693741985	0	600	600	597
Sun Sep 03 19:53:06 2023	1693741986	0	600	600	600
Sun Sep 03 19:53:01 2023	1693741981	0	600	600	600
Sun Sep 03 19:53:08 2023	1693741988	0	600	601	600
Sun Sep 03 19:53:09 2023	1693741989	0	601	602	601
