starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:50:24 2023	1693741824	0	475	475	475
Sun Sep 03 19:50:27 2023	1693741827	0	475	475	475
Sun Sep 03 19:50:31 2023	1693741831	0	475	475	475
Sun Sep 03 19:50:27 2023	1693741827	0	475	475	475
Sun Sep 03 19:50:27 2023	1693741827	0	475	476	475
Sun Sep 03 19:50:24 2023	1693741824	0	476	476	475
Sun Sep 03 19:50:24 2023	1693741824	0	476	476	475
Sun Sep 03 19:50:24 2023	1693741824	0	476	476	475
Sun Sep 03 19:50:30 2023	1693741830	0	476	476	475
Sun Sep 03 19:50:29 2023	1693741829	0	476	476	475
Sun Sep 03 19:50:24 2023	1693741824	0	476	476	475
Sun Sep 03 19:50:31 2023	1693741831	0	476	476	476
Sun Sep 03 19:50:24 2023	1693741824	0	476	476	475
Sun Sep 03 19:50:26 2023	1693741826	0	476	477	476
Sun Sep 03 19:50:29 2023	1693741829	0	476	477	476
Sun Sep 03 19:50:26 2023	1693741826	0	476	477	476
Sun Sep 03 19:50:25 2023	1693741825	0	477	477	476
Sun Sep 03 19:50:25 2023	1693741825	0	477	477	476
Sun Sep 03 19:50:27 2023	1693741827	0	477	477	476
Sun Sep 03 19:50:31 2023	1693741831	0	477	477	477
Sun Sep 03 19:50:30 2023	1693741830	0	477	477	477
Sun Sep 03 19:50:24 2023	1693741824	0	477	477	477
Sun Sep 03 19:50:25 2023	1693741825	0	477	477	477
Sun Sep 03 19:50:26 2023	1693741826	0	477	477	477
Sun Sep 03 19:50:24 2023	1693741824	0	477	477	477
Sun Sep 03 19:50:31 2023	1693741831	0	477	478	477
Sun Sep 03 19:50:30 2023	1693741830	0	477	478	477
Sun Sep 03 19:50:31 2023	1693741831	0	477	478	477
Sun Sep 03 19:50:24 2023	1693741824	0	478	478	477
Sun Sep 03 19:50:23 2023	1693741823	0	477	478	477
Sun Sep 03 19:50:27 2023	1693741827	0	478	478	477
Sun Sep 03 19:50:27 2023	1693741827	0	478	478	477
Sun Sep 03 19:50:26 2023	1693741826	0	478	478	477
Sun Sep 03 19:50:29 2023	1693741829	0	478	478	477
Sun Sep 03 19:50:27 2023	1693741827	0	478	478	478
Sun Sep 03 19:50:24 2023	1693741824	0	478	478	478
Sun Sep 03 19:50:25 2023	1693741825	0	478	478	477
